well,red_vol,yellow_vol,blue_vol,water_vol,measured_red,measured_green,measured_blue
A1,0,200,0,0,144.2913360595703,138.7675323486328,38.60957336425781
A2,200,0,0,0,139.4827880859375,61.15968322753906,51.2978401184082
A3,0,151,28,21,145.3671112060547,162.62364196777344,57.6203727722168
A4,0,80,0,120,176.1849365234375,184.65333557128906,81.67278289794922
A5,35,127,0,38,148.4384765625,123.07666778564453,35.21324920654297
A6,0,20,0,180,163.82858276367188,168.67816162109375,120.12084197998047
A7,72,80,0,48,163.927001953125,118.54680633544922,45.34486389160156
A8,140,0,0,60,117.97054290771484,61.90788269042969,57.9047737121582
A9,0,0,140,60,72.32170104980469,128.03121948242188,124.92164611816406
A10,0,0,0,200,161.73236083984375,165.93392944335938,147.12237548828125
A11,200,0,0,0,113.89867401123047,52.53883743286133,48.21588134765625
A12,90,0,94,16,82.0997543334961,77.53404998779297,83.19708251953125
B1,105,0,0,95,140.9411163330078,94.0822525024414,84.57860565185547
B2,0,0,41,159,139.98060607910156,166.362060546875,155.53919982910156
B3,140,0,0,60,140.88909912109375,76.57872772216797,70.36091613769531
B4,20,0,0,180,165.04336547851562,158.79537963867188,141.28115844726562
B5,0,0,140,60,78.30476379394531,147.21278381347656,144.2045440673828
B6,0,80,0,120,195.8897705078125,205.61915588378906,104.76484680175781
B7,0,112,0,88,174.9334259033203,181.78961181640625,68.63882446289062
B8,80,0,0,120,149.707275390625,103.37539672851562,95.37347412109375
B9,0,137,0,63,169.9878692626953,174.2444305419922,58.19367599487305
B10,0,155,34,11,143.37168884277344,159.5943603515625,52.50690460205078
B11,0,106,48,46,125.30992126464844,150.66534423828125,56.14702606201172
B12,0,0,0,200,169.8253173828125,174.6223907470703,157.377685546875
C1,0,21,0,179,154.34767150878906,157.46609497070312,115.64678955078125
C2,0,20,0,180,162.91848754882812,167.6545867919922,122.69788360595703
C3,0,0,153,47,71.27560424804688,143.0311279296875,143.4197540283203
C4,0,0,140,60,82.86204528808594,155.72064208984375,152.37347412109375
C5,0,0,0,200,165.24664306640625,169.30889892578125,150.5503692626953
C6,0,140,0,60,159.46560668945312,165.6248016357422,47.04728698730469
C7,0,0,143,57,62.37394332885742,132.3765106201172,129.0129852294922
C8,0,140,0,60,162.63580322265625,167.5336151123047,47.08110046386719
C9,20,0,0,180,159.6605987548828,152.44064331054688,135.33062744140625
C10,80,0,0,120,136.0167999267578,91.06111907958984,89.43380737304688
C11,0,0,20,180,153.02796936035156,168.00909423828125,153.59950256347656
C12,0,0,200,0,42.02935791015625,105.3240966796875,109.8746109008789
D1,0,23,61,116,125.43584442138672,150.525390625,116.65680694580078
D2,0,120,0,80,168.019775390625,172.3511962890625,65.61117553710938
D3,0,0,80,120,118.8093490600586,165.18719482421875,153.26251220703125
D4,0,200,0,0,162.96783447265625,168.23471069335938,47.7056770324707
D5,0,53,84,63,106.60860443115234,150.31785583496094,78.79448699951172
D6,137,0,39,24,103.47156524658203,63.780155181884766,63.93777084350586
D7,0,20,0,180,172.42066955566406,180.70005798339844,130.79660034179688
D8,140,0,0,60,136.45013427734375,66.21826171875,62.17347717285156
D9,0,0,62,138,124.66926574707031,159.55502319335938,148.9239044189453
D10,36,0,23,141,133.74478149414062,134.21231079101562,124.17645263671875
D11,80,0,0,120,144.8465576171875,105.02647399902344,98.12786865234375
D12,0,0,20,180,158.4929962158203,173.69921875,158.52903747558594
E1,0,0,20,180,147.56106567382812,158.12745666503906,141.98516845703125
E2,0,0,80,120,115.40223693847656,153.76483154296875,140.36318969726562
E3,121,0,0,79,123.39830017089844,64.8898696899414,58.79216766357422
E4,0,0,20,180,136.68841552734375,146.626708984375,131.26576232910156
E5,0,0,0,200,149.001708984375,150.786376953125,130.9426727294922
E6,0,106,78,16,91.44686126708984,120.43939208984375,39.31187438964844
E7,0,0,62,138,116.59893798828125,141.62896728515625,128.5556182861328
E8,0,68,0,132,139.6100311279297,138.59239196777344,51.763206481933594
E9,131,0,61,8,73.48143005371094,40.602272033691406,40.78470993041992
E10,20,0,0,180,152.90911865234375,144.51670837402344,131.87904357910156
E11,0,0,140,60,78.19445037841797,136.76806640625,136.4357452392578
E12,96,0,29,75,92.62259674072266,61.086795806884766,55.74242401123047
F1,0,140,0,60,151.0645294189453,153.6956329345703,47.99148941040039
F2,0,80,0,120,151.4895477294922,155.21212768554688,60.779563903808594
F3,146,30,0,24,139.3683624267578,58.373504638671875,17.76365852355957
F4,0,174,22,4,156.6536102294922,165.09060668945312,56.28232955932617
F5,125,35,0,40,150.07574462890625,67.54766082763672,23.240081787109375
F6,55,34,26,85,127.1748046875,99.256103515625,56.066951751708984
F7,126,40,29,5,120.34060668945312,57.4074821472168,20.31484031677246
F8,143,0,0,57,138.47613525390625,70.14761352539062,65.10627746582031
F9,87,0,0,113,126.04876708984375,76.7545394897461,72.56010437011719
F10,0,0,200,0,51.151302337646484,121.3952407836914,127.64158630371094
F11,94,85,0,21,149.53085327148438,83.2674789428711,21.176971435546875
F12,80,60,0,60,125.30726623535156,69.5797348022461,25.136688232421875
G1,0,130,0,70,148.86166381835938,153.47853088378906,55.19904708862305
G2,0,0,200,0,52.637210845947266,115.49376678466797,114.38436126708984
G3,20,0,0,180,146.66497802734375,141.64500427246094,124.60369873046875
G4,0,0,142,58,75.12246704101562,130.02346801757812,125.95401000976562
G5,200,0,0,0,115.20813751220703,38.59790802001953,26.83062744140625
G6,0,64,135,1,55.79083251953125,98.599365234375,44.40562438964844
G7,43,0,23,134,110.97962951660156,90.01533508300781,80.13668823242188
G8,39,0,0,161,145.0048828125,128.10635375976562,114.84490203857422
G9,80,0,0,120,125.70329284667969,81.47833251953125,75.95513153076172
G10,0,20,0,180,150.0215606689453,152.48492431640625,111.23538208007812
G11,140,0,0,60,92.92797088623047,35.0767707824707,26.260501861572266
