well,red_vol,yellow_vol,blue_vol,water_vol,measured_red,measured_green,measured_blue
A1,0,200,0,0,,,
A2,200,0,0,0,,,
A3,0,151,28,21,,,
A4,0,80,0,120,,,
A5,35,127,0,38,,,
A6,0,20,0,180,,,
A7,72,80,0,48,,,
A8,140,0,0,60,,,
A9,0,0,140,60,,,
A10,0,0,0,200,,,
A11,200,0,0,0,,,
A12,90,0,94,16,,,
B1,105,0,0,95,,,
B2,0,0,41,159,,,
B3,140,0,0,60,,,
B4,20,0,0,180,,,
B5,0,0,140,60,,,
B6,0,80,0,120,,,
B7,0,112,0,88,,,
B8,80,0,0,120,,,
B9,0,137,0,63,,,
B10,0,155,34,11,,,
B11,0,106,48,46,,,
B12,0,0,0,200,,,
C1,0,21,0,179,,,
C2,0,20,0,180,,,
C3,0,0,153,47,,,
C4,0,0,140,60,,,
C5,0,0,0,200,,,
C6,0,140,0,60,,,
C7,0,0,143,57,,,
C8,0,140,0,60,,,
C9,20,0,0,180,,,
C10,80,0,0,120,,,
C11,0,0,20,180,,,
C12,0,0,200,0,,,
D1,0,23,61,116,,,
D2,0,120,0,80,,,
D3,0,0,80,120,,,
D4,0,200,0,0,,,
D5,0,53,84,63,,,
D6,137,0,39,24,,,
D7,0,20,0,180,,,
D8,140,0,0,60,,,
D9,0,0,62,138,,,
D10,36,0,23,141,,,
D11,80,0,0,120,,,
D12,0,0,20,180,,,
E1,0,0,20,180,,,
E2,0,0,80,120,,,
E3,121,0,0,79,,,
E4,0,0,20,180,,,
E5,0,0,0,200,,,
E6,0,106,78,16,,,
E7,0,0,62,138,,,
E8,0,68,0,132,,,
E9,131,0,61,8,,,
E10,20,0,0,180,,,
E11,0,0,140,60,,,
E12,96,0,29,75,,,
F1,0,140,0,60,,,
F2,0,80,0,120,,,
F3,146,30,0,24,,,
F4,0,174,22,4,,,
F5,125,35,0,40,,,
F6,55,34,26,85,,,
F7,126,40,29,5,,,
F8,143,0,0,57,,,
F9,87,0,0,113,,,
F10,0,0,200,0,,,
F11,94,85,0,21,,,
F12,80,60,0,60,,,
G1,0,130,0,70,,,
G2,0,0,200,0,,,
G3,20,0,0,180,,,
G4,0,0,142,58,,,
G5,200,0,0,0,,,
G6,0,64,135,1,,,
G7,43,0,23,134,,,
G8,39,0,0,161,,,
G9,80,0,0,120,,,
G10,0,20,0,180,,,
G11,140,0,0,60,,,
G12,0,0,80,120,,,
H1,0,0,200,0,,,
H2,0,200,0,0,,,
H3,67,106,0,27,,,
H4,0,0,80,120,,,
H5,0,80,0,120,,,
H6,119,27,20,34,,,
H7,0,200,0,0,,,
H8,0,140,0,60,,,
H9,122,0,76,2,,,
H10,200,0,0,0,,,
H11,0,173,26,1,,,
H12,0,95,0,105,,,
