Row | Iter | TargetRGB | Volumes | MeasuredRGB | Dist | #Train | R2 | MSE
A | 1 | [ 25 173 169] | [122, 22, 56] | [125 133 138] | 112.08 | 1 | nan | nan
A | 2 | [ 25 173 169] | [69, 0, 131] | [  0 142 190] | 45.02 | 2 | 1.0000 | 0.00
A | 3 | [ 25 173 169] | [0, 87, 113] | [ 73 230 132] | 83.20 | 3 | 1.0000 | 0.00
A | 4 | [ 25 173 169] | [60, 19, 121] | [  0 165 153] | 30.74 | 4 | 1.0000 | 0.00
A | 5 | [ 25 173 169] | [31, 37, 132] | [  0 189 143] | 39.46 | 5 | 1.0000 | 0.00
A | 6 | [ 25 173 169] | [75, 19, 106] | [ 38 152 146] | 33.75 | 6 | 1.0000 | 0.01
A | 7 | [ 25 173 169] | [47, 35, 118] | [ 17 175 131] | 38.88 | 7 | 1.0000 | 0.01
A | 8 | [ 25 173 169] | [69, 19, 112] | [ 22 167 150] | 20.15 | 8 | 0.9987 | 0.95
A | 9 | [ 25 173 169] | [52, 20, 128] | [  0 172 161] | 26.27 | 9 | 0.9985 | 1.10
A | 10 | [ 25 173 169] | [84, 0, 116] | [ 61 141 186] | 51.08 | 10 | 0.9995 | 0.34
A | 11 | [ 25 173 169] | [44, 19, 137] | [ 26 173 166] | 3.16 | 11 | 0.9993 | 0.37
Row A matched with recipe [44, 19, 137]
B | 1 | [106 114  85] | [97, 81, 22] | [106 147   0] | 91.18 | 12 | 0.9994 | 0.42
B | 2 | [106 114  85] | [106, 44, 50] | [ 92 137  73] | 29.48 | 13 | 0.9990 | 0.73
B | 3 | [106 114  85] | [122, 40, 38] | [107 130  73] | 20.02 | 14 | 0.9996 | 0.30
B | 4 | [106 114  85] | [139, 39, 22] | [122 121  62] | 28.88 | 15 | 0.9986 | 1.10
B | 5 | [106 114  85] | [136, 35, 29] | [123 131  87] | 24.12 | 16 | 0.9992 | 0.73
B | 6 | [106 114  85] | [144, 36, 20] | [118 126  78] | 18.36 | 17 | 0.9993 | 0.63
B | 7 | [106 114  85] | [166, 34, 0] | [159 105  73] | 55.08 | 18 | 0.9979 | 2.76
B | 8 | [106 114  85] | [114, 37, 49] | [103 135 105] | 29.15 | 19 | 0.9981 | 2.36
B | 9 | [106 114  85] | [124, 38, 38] | [121 127 106] | 28.90 | 20 | 0.9970 | 4.94
B | 10 | [106 114  85] | [0, 200, 0] | [112 199 101] | 86.70 | 21 | 0.9968 | 5.49
B | 11 | [106 114  85] | [129, 38, 33] | [127 125 114] | 37.46 | 22 | 0.9954 | 7.99
C | 1 | [ 50 122 174] | [81, 0, 119] | [  0 127 182] | 50.88 | 23 | 0.9962 | 6.15
C | 2 | [ 50 122 174] | [43, 0, 157] | [  0 145 189] | 57.04 | 24 | 0.9949 | 8.66
C | 3 | [ 50 122 174] | [83, 0, 117] | [ 14 132 184] | 38.68 | 25 | 0.9946 | 10.14
C | 4 | [ 50 122 174] | [0, 0, 200] | [  0 181 190] | 78.97 | 26 | 0.9945 | 10.54
C | 5 | [ 50 122 174] | [87, 0, 113] | [ 36 124 178] | 14.70 | 27 | 0.9858 | 28.76
Row C matched with recipe [87, 0, 113]
D | 1 | [109 120   0] | [139, 61, 0] | [118 114   0] | 10.82 | 28 | 0.9876 | 26.55
Row D matched with recipe [139, 61, 0]
