Row | Iter | TargetRGB | Volumes | MeasuredRGB | Dist | #Train | R2 | MSE
E | 1 | [142 137  87] | [48, 83, 69] | [ 52 170   3] | 127.46 | 1 | nan | nan
E | 2 | [142 137  87] | [29, 98, 73] | [ 29 185   0] | 150.47 | 2 | 0.3836 | 30.86
E | 3 | [142 137  87] | [200, 0, 0] | [177  96 156] | 87.56 | 3 | 1.0000 | 0.00
E | 4 | [142 137  87] | [124, 0, 76] | [110 110 174] | 96.55 | 4 | 1.0000 | 0.00
E | 5 | [142 137  87] | [138, 62, 0] | [129 125   0] | 88.78 | 5 | 1.0000 | 0.00
E | 6 | [142 137  87] | [154, 27, 19] | [137 113 106] | 31.02 | 6 | 1.0000 | 0.00
E | 7 | [142 137  87] | [168, 32, 0] | [161 109  96] | 35.01 | 7 | 1.0000 | 0.01
E | 8 | [142 137  87] | [140, 34, 26] | [128 115  92] | 26.55 | 8 | 1.0000 | 0.01
E | 9 | [142 137  87] | [145, 36, 19] | [131 115  95] | 25.87 | 9 | 0.9998 | 0.38
E | 10 | [142 137  87] | [143, 38, 19] | [129 114  88] | 26.44 | 10 | 0.9998 | 0.30
E | 11 | [142 137  87] | [159, 41, 0] | [154 114  87] | 25.94 | 11 | 0.9998 | 0.14
F | 1 | [115 146 105] | [71, 24, 105] | [ 54 154 131] | 66.79 | 1 | nan | nan
F | 2 | [115 146 105] | [137, 33, 30] | [117 121  95] | 27.00 | 2 | 1.0000 | 0.00
F | 3 | [115 146 105] | [0, 200, 0] | [ 42 183   0] | 133.13 | 3 | 1.0000 | 0.00
F | 4 | [115 146 105] | [143, 0, 57] | [121 104 167] | 75.13 | 4 | 1.0000 | 0.00
F | 5 | [115 146 105] | [119, 33, 48] | [110 123 115] | 25.57 | 5 | 1.0000 | 0.00
F | 6 | [115 146 105] | [110, 43, 47] | [102 131  80] | 31.92 | 6 | 1.0000 | 0.00
F | 7 | [115 146 105] | [118, 37, 45] | [109 119  89] | 31.95 | 7 | 1.0000 | 0.02
F | 8 | [115 146 105] | [95, 38, 67] | [100 127 114] | 25.83 | 8 | 0.9999 | 0.06
F | 9 | [115 146 105] | [177, 23, 0] | [165 104 119] | 66.78 | 9 | 0.9994 | 0.37
F | 10 | [115 146 105] | [108, 39, 53] | [110 123  98] | 24.56 | 10 | 0.9984 | 1.03
F | 11 | [115 146 105] | [88, 45, 67] | [101 134 107] | 18.55 | 11 | 0.9993 | 0.43
G | 1 | [143 138  90] | [89, 79, 32] | [109 142   0] | 96.29 | 1 | nan | nan
G | 2 | [143 138  90] | [71, 83, 46] | [ 75 150   0] | 113.44 | 2 | 0.4269 | 32.30
G | 3 | [143 138  90] | [200, 0, 0] | [173 107 151] | 74.71 | 3 | 1.0000 | 0.00
G | 4 | [143 138  90] | [149, 51, 0] | [139 117  44] | 50.72 | 4 | 1.0000 | 0.00
G | 5 | [143 138  90] | [132, 0, 68] | [120 108 175] | 93.03 | 5 | 1.0000 | 0.00
G | 6 | [143 138  90] | [143, 35, 22] | [120 109  93] | 37.13 | 6 | 1.0000 | 0.00
