Row | Iter | TargetRGB | Volumes | MeasuredRGB | Dist | #Train | R2 | MSE
A | 1 | [  0 196 107] | [101, 0, 99] | [202 210  81] | 204.15 | 1 | nan | nan
A | 2 | [  0 196 107] | [148, 0, 52] | [195 196  74] | 197.77 | 2 | nan | nan
A | 3 | [  0 196 107] | [0, 54, 146] | [126 164 152] | 137.57 | 3 | 1.0000 | 0.00
A | 4 | [  0 196 107] | [152, 48, 0] | [191 217 101] | 192.24 | 4 | 1.0000 | 0.00
A | 5 | [  0 196 107] | [0, 90, 110] | [ 61 165 160] | 86.55 | 5 | 1.0000 | 0.00
A | 6 | [  0 196 107] | [19, 152, 29] | [  0 187 138] | 32.28 | 6 | 1.0000 | 0.00
A | 7 | [  0 196 107] | [47, 153, 0] | [  0 203 134] | 27.89 | 7 | 1.0000 | 0.01
A | 8 | [  0 196 107] | [56, 144, 0] | [ 41 204 102] | 42.07 | 8 | 1.0000 | 0.01
A | 9 | [  0 196 107] | [36, 137, 27] | [ 21 182 128] | 32.83 | 9 | 1.0000 | 0.02
A | 10 | [  0 196 107] | [52, 148, 0] | [ 74 195 128] | 76.93 | 10 | 0.9825 | 36.58
A | 11 | [  0 196 107] | [33, 148, 19] | [ 50 186 151] | 67.35 | 11 | 0.9900 | 21.74
